lon,lat,temperature,salinity
133.1016,84.9641,-1.7851,32.4886
133.1016,84.9641,-1.7851,32.4888
133.1016,84.9641,-1.7851,32.4888
133.1016,84.9641,-1.7853,32.4891
133.1016,84.9641,-1.7851,32.489
133.1016,84.9641,-1.7851,32.489
133.1016,84.9641,-1.7853,32.4891
133.1016,84.9641,-1.7851,32.4891
133.1016,84.9641,-1.785,32.4891
133.1016,84.9641,-1.785,32.4893
133.1016,84.9641,-1.785,32.4894
133.1016,84.9641,-1.785,32.4896
133.1016,84.9641,-1.7851,32.4901
133.1016,84.9641,-1.7853,32.4929
133.1016,84.9641,-1.7855,32.4969
133.1016,84.9641,-1.7855,32.5012
133.1016,84.9641,-1.7853,32.502
133.1016,84.9641,-1.7854,32.5037
133.1016,84.9641,-1.7854,32.5072
133.1016,84.9641,-1.7855,32.5085
133.1016,84.9641,-1.7855,32.5092
133.1016,84.9641,-1.7854,32.5105
133.1016,84.9641,-1.7838,32.5421
133.1016,84.9641,-1.7529,33.06
133.1016,84.9641,-1.6973,33.527
133.1016,84.9641,-1.6906,33.7081
133.1016,84.9641,-1.7042,33.7926
133.1016,84.9641,-1.7129,33.8537
133.1016,84.9641,-1.7281,33.9031
133.1016,84.9641,-1.7398,33.9382
133.1016,84.9641,-1.756,33.9722
133.1016,84.9641,-1.7695,33.9932
133.1016,84.9641,-1.7787,34.0045
133.1016,84.9641,-1.7896,34.0153
133.1016,84.9641,-1.7964,34.0294
133.1016,84.9641,-1.7959,34.0452
133.1016,84.9641,-1.8012,34.0603
133.1016,84.9641,-1.8089,34.071
133.1016,84.9641,-1.8119,34.081
133.1016,84.9641,-1.8121,34.0866
133.1016,84.9641,-1.8112,34.0905
133.1016,84.9641,-1.8134,34.0958
133.1016,84.9641,-1.8169,34.102
133.1016,84.9641,-1.8198,34.1088
133.1016,84.9641,-1.8266,34.1182
133.1016,84.9641,-1.8295,34.1258
133.1016,84.9641,-1.8326,34.1327
133.1016,84.9641,-1.8315,34.1418
133.1016,84.9641,-1.8092,34.1526
133.1016,84.9641,-1.7785,34.155
133.1016,84.9641,-1.7826,34.1666
133.1016,84.9641,-1.754,34.1759
133.1016,84.9641,-1.7705,34.1901
133.1016,84.9641,-1.7887,34.2026
133.1016,84.9641,-1.781,34.2136
133.1016,84.9641,-1.7654,34.2224
133.1016,84.9641,-1.7685,34.233
133.1016,84.9641,-1.7699,34.2403
133.1016,84.9641,-1.7698,34.2469
133.1016,84.9641,-1.7564,34.2509
133.1016,84.9641,-1.7541,34.2552
133.1016,84.9641,-1.7534,34.2587
133.1016,84.9641,-1.7543,34.2637
133.1016,84.9641,-1.7458,34.271
133.1016,84.9641,-1.7372,34.2807
133.1016,84.9641,-1.7377,34.2865
133.1016,84.9641,-1.7496,34.2912
133.1016,84.9641,-1.7623,34.2983
133.1016,84.9641,-1.7399,34.3036
133.1016,84.9641,-1.7254,34.3064
133.1016,84.9641,-1.7132,34.3104
133.1016,84.9641,-1.6966,34.3144
133.1016,84.9641,-1.6809,34.321
133.1016,84.9641,-1.6467,34.3269
133.1016,84.9641,-1.6046,34.3355
133.1016,84.9641,-1.564,34.3405
133.1016,84.9641,-1.544,34.3485
133.1016,84.9641,-1.5078,34.3525
133.1016,84.9641,-1.4688,34.3597
133.1016,84.9641,-1.4282,34.3638
133.1016,84.9641,-1.4022,34.3681
133.1016,84.9641,-1.3768,34.3735
133.1016,84.9641,-1.3468,34.3815
133.1016,84.9641,-1.3135,34.3884
133.1016,84.9641,-1.2713,34.3945
133.1016,84.9641,-1.2312,34.3977
133.1016,84.9641,-1.2167,34.4008
133.1016,84.9641,-1.2212,34.4064
133.1016,84.9641,-1.1954,34.4108
133.1016,84.9641,-1.179,34.4159
133.1016,84.9641,-1.1649,34.4207
133.1016,84.9641,-1.1469,34.4263
133.1016,84.9641,-1.1147,34.4302
133.1016,84.9641,-1.0767,34.4359
133.1016,84.9641,-1.0284,34.4385
133.1016,84.9641,-0.9893,34.4437
133.1016,84.9641,-0.9454,34.446
133.1016,84.9641,-0.9138,34.451
133.1016,84.9641,-0.8785,34.4543
133.1016,84.9641,-0.8596,34.4538
133.1016,84.9641,-0.8843,34.4595
133.1016,84.9641,-0.8698,34.4608
133.1016,84.9641,-0.8493,34.4656
133.1016,84.9641,-0.8396,34.468
133.1016,84.9641,-0.8304,34.4713
133.1016,84.9641,-0.8192,34.473
133.1016,84.9641,-0.8096,34.4756
133.1016,84.9641,-0.7993,34.4787
133.1016,84.9641,-0.7795,34.4802
133.1016,84.9641,-0.7634,34.4849
133.1016,84.9641,-0.7393,34.4882
133.1016,84.9641,-0.7114,34.4935
133.1016,84.9641,-0.672,34.499
133.1016,84.9641,-0.6321,34.5051
133.1016,84.9641,-0.6016,34.5078
133.1016,84.9641,-0.5794,34.5124
133.1016,84.9641,-0.551,34.5185
133.1016,84.9641,-0.5113,34.5267
133.1016,84.9641,-0.4732,34.5293
133.1016,84.9641,-0.438,34.5342
133.1016,84.9641,-0.4075,34.5398
133.1016,84.9641,-0.363,34.5469
133.1016,84.9641,-0.3054,34.5617
133.1016,84.9641,-0.2154,34.5703
133.1016,84.9641,-0.1373,34.574
133.1016,84.9641,-0.0889,34.5795
133.1016,84.9641,-0.0587,34.5887
133.1016,84.9641,-0.0144,34.5919
133.1016,84.9641,0.0293,34.6031
133.1016,84.9641,0.0707,34.6094
133.1016,84.9641,0.1242,34.6177
133.1016,84.9641,0.1875,34.6292
133.1016,84.9641,0.2436,34.6335
133.1016,84.9641,0.2865,34.6439
133.1016,84.9641,0.3522,34.6517
133.1016,84.9641,0.4,34.6578
133.1016,84.9641,0.4622,34.6626
133.1016,84.9641,0.5064,34.6754
133.1016,84.9641,0.5544,34.6852
133.1016,84.9641,0.674,34.6902
133.1016,84.9641,0.677,34.6972
133.1016,84.9641,0.7138,34.7052
133.1016,84.9641,0.7514,34.7123
133.1016,84.9641,0.75,34.7146
133.1016,84.9641,0.8629,34.7249
133.1016,84.9641,0.8683,34.732
133.1016,84.9641,0.8991,34.7401
133.1016,84.9641,0.9489,34.7476
133.1016,84.9641,0.9832,34.7615
133.1016,84.9641,1.0562,34.7669
133.1016,84.9641,1.1443,34.7716
133.1016,84.9641,1.1418,34.7798
133.1016,84.9641,1.1953,34.7838
133.1016,84.9641,1.2061,34.7885
133.1016,84.9641,1.2039,34.7886
133.1016,84.9641,1.201,34.7887
133.1016,84.9641,1.2021,34.7891
133.1016,84.9641,1.1988,34.7893
133.1016,84.9641,1.1952,34.7893
133.1016,84.9641,1.1948,34.7889
133.1016,84.9641,1.1914,34.7922
133.1016,84.9641,1.2786,34.8047
133.1016,84.9641,1.2791,34.8058
133.1016,84.9641,1.2773,34.8062
133.1016,84.9641,1.2763,34.8063
133.1016,84.9641,1.2746,34.806
133.1016,84.9641,1.275,34.8057
133.1016,84.9641,1.2877,34.8152
133.1016,84.9641,1.3889,34.8195
133.1016,84.9641,1.3858,34.8194
133.1016,84.9641,1.3802,34.819
133.1016,84.9641,1.3761,34.818
133.1016,84.9641,1.3654,34.8181
133.1016,84.9641,1.3623,34.8176
133.1016,84.9641,1.3567,34.8176
133.1016,84.9641,1.3513,34.8172
133.1016,84.9641,1.3477,34.8166
133.1016,84.9641,1.342,34.8165
133.1016,84.9641,1.3363,34.8162
133.1016,84.9641,1.3311,34.8162
133.1016,84.9641,1.3246,34.8157
133.1016,84.9641,1.3165,34.816
133.1016,84.9641,1.3141,34.8161
133.1016,84.9641,1.3117,34.8155
133.1016,84.9641,1.3067,34.8153
133.1016,84.9641,1.3011,34.816
133.1016,84.9641,1.2987,34.8149
133.1016,84.9641,1.2903,34.8153
133.1016,84.9641,1.2913,34.815
133.1016,84.9641,1.2901,34.8156
133.1016,84.9641,1.2889,34.8156
133.1016,84.9641,1.289,34.8158
133.1016,84.9641,1.2894,34.8161
133.1016,84.9641,1.2895,34.8163
133.1016,84.9641,1.2895,34.8167
133.1016,84.9641,1.2894,34.817
133.1016,84.9641,1.289,34.8176
133.1016,84.9641,1.2893,34.8183
133.1016,84.9641,1.2897,34.8187
133.1016,84.9641,1.2898,34.8189
133.1016,84.9641,1.2891,34.8197
133.1016,84.9641,1.3017,34.8283
133.1016,84.9641,1.3531,34.849
133.1016,84.9641,1.54,34.8554
133.1016,84.9641,1.5396,34.8555
133.1016,84.9641,1.5421,34.8552
133.1016,84.9641,1.5415,34.8553
133.1016,84.9641,1.5413,34.8553
133.1016,84.9641,1.5415,34.8553
133.1016,84.9641,1.5412,34.8554
133.1016,84.9641,1.5419,34.855
133.1016,84.9641,1.542,34.8549
133.1016,84.9641,1.5414,34.8549
133.1016,84.9641,1.541,34.8549
133.1016,84.9641,1.5409,34.855
133.1016,84.9641,1.5417,34.8545
133.1016,84.9641,1.5416,34.8542
133.1016,84.9641,1.5386,34.8544
133.1016,84.9641,1.537,34.8536
133.1016,84.9641,1.5303,34.8523
133.1016,84.9641,1.5169,34.8515
133.1016,84.9641,1.5061,34.8513
133.1016,84.9641,1.5012,34.851
