lon,lat,temperature,salinity
133.3708,84.9669,-1.7862,32.5155
133.3708,84.9669,-1.7862,32.5155
133.3708,84.9669,-1.7863,32.5156
133.3708,84.9669,-1.7862,32.5156
133.3708,84.9669,-1.7862,32.5157
133.3708,84.9669,-1.7862,32.5156
133.3708,84.9669,-1.786,32.5156
133.3708,84.9669,-1.786,32.5156
133.3708,84.9669,-1.786,32.5156
133.3708,84.9669,-1.7861,32.5158
133.3708,84.9669,-1.7861,32.5159
133.3708,84.9669,-1.7861,32.5159
133.3708,84.9669,-1.7861,32.5159
133.3708,84.9669,-1.786,32.5157
133.3708,84.9669,-1.786,32.5158
133.3708,84.9669,-1.7859,32.516
133.3708,84.9669,-1.7858,32.5159
133.3708,84.9669,-1.7859,32.5159
133.3708,84.9669,-1.7859,32.5159
133.3708,84.9669,-1.7858,32.5159
133.3708,84.9669,-1.7858,32.5159
133.3708,84.9669,-1.7858,32.5161
133.3708,84.9669,-1.7856,32.516
133.3708,84.9669,-1.7832,32.5475
133.3708,84.9669,-1.7477,32.9255
133.3708,84.9669,-1.7133,33.2987
133.3708,84.9669,-1.7107,33.5586
133.3708,84.9669,-1.7156,33.706
133.3708,84.9669,-1.7153,33.7666
133.3708,84.9669,-1.7116,33.7976
133.3708,84.9669,-1.7091,33.8347
133.3708,84.9669,-1.7117,33.8651
133.3708,84.9669,-1.7173,33.9156
133.3708,84.9669,-1.7212,33.9431
133.3708,84.9669,-1.724,33.9704
133.3708,84.9669,-1.7271,34.0013
133.3708,84.9669,-1.7286,34.0257
133.3708,84.9669,-1.7377,34.0438
133.3708,84.9669,-1.7603,34.0649
133.3708,84.9669,-1.7755,34.0759
133.3708,84.9669,-1.781,34.0856
133.3708,84.9669,-1.7849,34.0982
133.3708,84.9669,-1.7765,34.1076
133.3708,84.9669,-1.7721,34.1183
133.3708,84.9669,-1.7853,34.1366
133.3708,84.9669,-1.7906,34.1466
133.3708,84.9669,-1.7909,34.1561
133.3708,84.9669,-1.771,34.1662
133.3708,84.9669,-1.7296,34.1726
133.3708,84.9669,-1.6946,34.1854
133.3708,84.9669,-1.702,34.1971
133.3708,84.9669,-1.7149,34.204
133.3708,84.9669,-1.7313,34.2117
133.3708,84.9669,-1.7505,34.2229
133.3708,84.9669,-1.7571,34.2329
133.3708,84.9669,-1.7533,34.2411
133.3708,84.9669,-1.7533,34.2482
133.3708,84.9669,-1.7402,34.2539
133.3708,84.9669,-1.7087,34.2599
