lon,lat,temperature,salinity
133.1079,84.9641,-1.7854,32.4795
133.1079,84.9641,-1.7854,32.4796
133.1079,84.9641,-1.7855,32.4806
133.1079,84.9641,-1.7853,32.4803
133.1079,84.9641,-1.7854,32.4814
133.1079,84.9641,-1.7854,32.4816
133.1079,84.9641,-1.7853,32.4816
133.1079,84.9641,-1.7853,32.4823
133.1079,84.9641,-1.7854,32.4833
133.1079,84.9641,-1.7853,32.4837
133.1079,84.9641,-1.7854,32.4837
133.1079,84.9641,-1.7855,32.4841
133.1079,84.9641,-1.7854,32.4854
133.1079,84.9641,-1.7855,32.4889
133.1079,84.9641,-1.7855,32.4903
133.1079,84.9641,-1.7854,32.4925
133.1079,84.9641,-1.7855,32.4933
133.1079,84.9641,-1.7855,32.4937
133.1079,84.9641,-1.7853,32.4939
133.1079,84.9641,-1.7854,32.4941
133.1079,84.9641,-1.7852,32.4964
133.1079,84.9641,-1.7844,32.5078
133.1079,84.9641,-1.7792,32.5906
133.1079,84.9641,-1.7435,33.153
133.1079,84.9641,-1.6927,33.5682
133.1079,84.9641,-1.6905,33.7006
133.1079,84.9641,-1.7002,33.7707
133.1079,84.9641,-1.7092,33.8236
133.1079,84.9641,-1.7151,33.855
133.1079,84.9641,-1.7187,33.8885
133.1079,84.9641,-1.7208,33.9187
133.1079,84.9641,-1.7073,33.946
133.1079,84.9641,-1.7327,33.9785
133.1079,84.9641,-1.7505,34.0039
133.1079,84.9641,-1.7567,34.0292
133.1079,84.9641,-1.6894,34.0439
133.1079,84.9641,-1.6992,34.0548
133.1079,84.9641,-1.7447,34.0674
133.1079,84.9641,-1.7729,34.0808
133.1079,84.9641,-1.78,34.0921
133.1079,84.9641,-1.8116,34.1039
133.1079,84.9641,-1.8095,34.1078
133.1079,84.9641,-1.8185,34.1135
133.1079,84.9641,-1.8193,34.1189
133.1079,84.9641,-1.8105,34.1254
133.1079,84.9641,-1.7699,34.1421
133.1079,84.9641,-1.7205,34.1513
133.1079,84.9641,-1.7316,34.1582
133.1079,84.9641,-1.7688,34.1702
133.1079,84.9641,-1.775,34.1774
133.1079,84.9641,-1.7856,34.1843
133.1079,84.9641,-1.7767,34.1909
133.1079,84.9641,-1.7849,34.2
133.1079,84.9641,-1.772,34.2021
133.1079,84.9641,-1.7933,34.2084
133.1079,84.9641,-1.7938,34.2134
133.1079,84.9641,-1.7941,34.2195
133.1079,84.9641,-1.7917,34.2272
133.1079,84.9641,-1.7853,34.2366
133.1079,84.9641,-1.7647,34.2391
133.1079,84.9641,-1.7726,34.2449
133.1079,84.9641,-1.7472,34.2523
133.1079,84.9641,-1.728,34.2627
133.1079,84.9641,-1.7116,34.2644
133.1079,84.9641,-1.7554,34.2717
133.1079,84.9641,-1.7646,34.2757
133.1079,84.9641,-1.7463,34.2768
133.1079,84.9641,-1.7428,34.2847
133.1079,84.9641,-1.7296,34.2935
133.1079,84.9641,-1.6554,34.2997
133.1079,84.9641,-1.6231,34.3066
133.1079,84.9641,-1.5958,34.3144
133.1079,84.9641,-1.5628,34.3223
133.1079,84.9641,-1.5379,34.3285
133.1079,84.9641,-1.5129,34.3343
133.1079,84.9641,-1.4834,34.3419
133.1079,84.9641,-1.4495,34.3489
133.1079,84.9641,-1.4242,34.3546
133.1079,84.9641,-1.4033,34.3582
133.1079,84.9641,-1.3955,34.3639
133.1079,84.9641,-1.3724,34.368
133.1079,84.9641,-1.3483,34.3735
133.1079,84.9641,-1.3195,34.3782
133.1079,84.9641,-1.2951,34.3829
133.1079,84.9641,-1.2649,34.3875
133.1079,84.9641,-1.2404,34.3922
133.1079,84.9641,-1.2169,34.3969
133.1079,84.9641,-1.1821,34.4045
133.1079,84.9641,-1.1399,34.4096
133.1079,84.9641,-1.1103,34.4137
133.1079,84.9641,-1.0846,34.4179
133.1079,84.9641,-1.0594,34.4208
133.1079,84.9641,-1.0462,34.4225
133.1079,84.9641,-1.0366,34.4236
133.1079,84.9641,-1.0258,34.4283
133.1079,84.9641,-0.9909,34.4319
133.1079,84.9641,-0.9614,34.4385
133.1079,84.9641,-0.918,34.4444
133.1079,84.9641,-0.8911,34.4483
133.1079,84.9641,-0.8663,34.4514
133.1079,84.9641,-0.8523,34.4538
133.1079,84.9641,-0.8424,34.456
133.1079,84.9641,-0.8305,34.4587
133.1079,84.9641,-0.8139,34.4615
133.1079,84.9641,-0.7952,34.4637
133.1079,84.9641,-0.7752,34.466
133.1079,84.9641,-0.761,34.4694
