lon,lat,temperature,salinity
133.1672,84.9667,-1.7855,32.4954
133.1672,84.9667,-1.7854,32.4954
133.1672,84.9667,-1.7853,32.4953
133.1672,84.9667,-1.7854,32.4954
133.1672,84.9667,-1.7853,32.4954
133.1672,84.9667,-1.7853,32.4955
133.1672,84.9667,-1.7853,32.4956
133.1672,84.9667,-1.7852,32.4958
133.1672,84.9667,-1.7854,32.4962
133.1672,84.9667,-1.7853,32.4961
133.1672,84.9667,-1.7852,32.4966
133.1672,84.9667,-1.7852,32.4974
133.1672,84.9667,-1.7853,32.4982
133.1672,84.9667,-1.7853,32.4984
133.1672,84.9667,-1.7853,32.4991
133.1672,84.9667,-1.7853,32.5
133.1672,84.9667,-1.7851,32.501
133.1672,84.9667,-1.785,32.502
133.1672,84.9667,-1.7841,32.5063
133.1672,84.9667,-1.7835,32.5102
133.1672,84.9667,-1.7815,32.5182
133.1672,84.9667,-1.7804,32.5318
133.1672,84.9667,-1.767,32.6999
133.1672,84.9667,-1.7215,33.1416
133.1672,84.9667,-1.7045,33.4425
133.1672,84.9667,-1.701,33.5622
133.1672,84.9667,-1.7043,33.6753
133.1672,84.9667,-1.7095,33.7408
133.1672,84.9667,-1.7174,33.8105
133.1672,84.9667,-1.7308,33.8743
133.1672,84.9667,-1.7483,33.9171
133.1672,84.9667,-1.7573,33.9431
133.1672,84.9667,-1.7667,33.9609
133.1672,84.9667,-1.7798,33.9905
133.1672,84.9667,-1.7864,34.0086
133.1672,84.9667,-1.791,34.0257
133.1672,84.9667,-1.7929,34.0364
133.1672,84.9667,-1.7983,34.0506
133.1672,84.9667,-1.8027,34.0618
133.1672,84.9667,-1.8082,34.0738
133.1672,84.9667,-1.8076,34.0816
133.1672,84.9667,-1.8077,34.0893
133.1672,84.9667,-1.8114,34.0969
133.1672,84.9667,-1.8162,34.1057
133.1672,84.9667,-1.8211,34.1133
133.1672,84.9667,-1.8253,34.1198
133.1672,84.9667,-1.8286,34.1256
133.1672,84.9667,-1.8289,34.1314
133.1672,84.9667,-1.8274,34.1384
133.1672,84.9667,-1.8177,34.143
133.1672,84.9667,-1.8097,34.15
133.1672,84.9667,-1.7918,34.161
133.1672,84.9667,-1.7856,34.1789
133.1672,84.9667,-1.7891,34.1925
133.1672,84.9667,-1.7936,34.1997
133.1672,84.9667,-1.7902,34.2059
133.1672,84.9667,-1.7895,34.2134
133.1672,84.9667,-1.7877,34.2212
133.1672,84.9667,-1.7859,34.2287
133.1672,84.9667,-1.7818,34.2374
133.1672,84.9667,-1.7783,34.2426
133.1672,84.9667,-1.7756,34.2471
133.1672,84.9667,-1.7685,34.2549
133.1672,84.9667,-1.7572,34.2633
133.1672,84.9667,-1.7485,34.2692
133.1672,84.9667,-1.7423,34.2738
133.1672,84.9667,-1.7377,34.2806
133.1672,84.9667,-1.734,34.2858
133.1672,84.9667,-1.7317,34.2908
133.1672,84.9667,-1.733,34.2956
133.1672,84.9667,-1.7236,34.2998
133.1672,84.9667,-1.7022,34.3026
133.1672,84.9667,-1.6557,34.3068
133.1672,84.9667,-1.6132,34.3184
133.1672,84.9667,-1.5921,34.33
133.1672,84.9667,-1.5699,34.3356
133.1672,84.9667,-1.5398,34.3373
133.1672,84.9667,-1.5126,34.3436
133.1672,84.9667,-1.4836,34.3491
133.1672,84.9667,-1.4406,34.3547
133.1672,84.9667,-1.405,34.3582
133.1672,84.9667,-1.3743,34.3654
133.1672,84.9667,-1.3361,34.3718
133.1672,84.9667,-1.3152,34.3766
133.1672,84.9667,-1.2806,34.3796
133.1672,84.9667,-1.2581,34.3866
133.1672,84.9667,-1.2478,34.39
133.1672,84.9667,-1.2294,34.3945
133.1672,84.9667,-1.2003,34.3981
133.1672,84.9667,-1.1715,34.4021
133.1672,84.9667,-1.1544,34.4113
133.1672,84.9667,-1.1396,34.4159
133.1672,84.9667,-1.1209,34.417
133.1672,84.9667,-1.0898,34.4257
