lon,lat,depth,temperature,salinity
133.1394,84.9637,6.0,-1.7858,32.4984
133.1394,84.9637,7.0,-1.7859,32.4986
133.1394,84.9637,8.0,-1.7859,32.4987
133.1394,84.9637,9.0,-1.7858,32.4987
133.1394,84.9637,10.0,-1.7859,32.4987
133.1394,84.9637,11.0,-1.7857,32.4985
133.1394,84.9637,12.0,-1.7858,32.4986
133.1394,84.9637,13.0,-1.7857,32.4986
133.1394,84.9637,14.0,-1.786,32.4993
133.1394,84.9637,15.0,-1.7861,32.4996
133.1394,84.9637,16.0,-1.7861,32.4998
133.1394,84.9637,17.0,-1.7861,32.5
133.1394,84.9637,18.0,-1.7861,32.4999
133.1394,84.9637,19.0,-1.7859,32.4996
133.1394,84.9637,20.0,-1.7862,32.5006
133.1394,84.9637,21.0,-1.7862,32.5006
133.1394,84.9637,22.0,-1.7863,32.5011
133.1394,84.9637,23.0,-1.7862,32.5017
133.1394,84.9637,24.0,-1.7863,32.5027
133.1394,84.9637,25.0,-1.7863,32.5038
133.1394,84.9637,26.0,-1.7861,32.5053
133.1394,84.9637,27.0,-1.7853,32.5125
133.1394,84.9637,28.0,-1.7724,32.6381
133.1394,84.9637,29.0,-1.733,33.0676
133.1394,84.9637,30.0,-1.7101,33.3627
133.1394,84.9637,31.0,-1.6972,33.5951
133.1394,84.9637,32.0,-1.7025,33.7212
133.1394,84.9637,33.0,-1.7102,33.7885
133.1394,84.9637,34.0,-1.7155,33.8226
133.1394,84.9637,35.0,-1.7219,33.8601
133.1394,84.9637,36.0,-1.7268,33.9009
133.1394,84.9637,37.0,-1.7324,33.932
133.1394,84.9637,38.0,-1.7344,33.965
133.1394,84.9637,39.0,-1.7448,33.9963
133.1394,84.9637,40.0,-1.7426,34.0128
133.1394,84.9637,41.0,-1.7459,34.0356
133.1394,84.9637,42.0,-1.7513,34.053
133.1394,84.9637,43.0,-1.7346,34.0721
133.1394,84.9637,44.0,-1.7268,34.0893
133.1394,84.9637,45.0,-1.7624,34.1053
133.1394,84.9637,46.0,-1.776,34.1091
133.1394,84.9637,47.0,-1.7892,34.1189
133.1394,84.9637,48.0,-1.8063,34.1281
133.1394,84.9637,49.0,-1.8119,34.135
133.1394,84.9637,50.0,-1.8082,34.1413
133.1394,84.9637,51.0,-1.807,34.1469
133.1394,84.9637,52.0,-1.8066,34.1556
133.1394,84.9637,53.0,-1.8037,34.1625
133.1394,84.9637,54.0,-1.8,34.17
133.1394,84.9637,55.0,-1.7977,34.1798
133.1394,84.9637,56.0,-1.7943,34.1871
133.1394,84.9637,57.0,-1.7893,34.1942
133.1394,84.9637,58.0,-1.779,34.202
133.1394,84.9637,59.0,-1.7722,34.2084
133.1394,84.9637,60.0,-1.768,34.215
133.1394,84.9637,61.0,-1.7537,34.2213
133.1394,84.9637,62.0,-1.7577,34.2293
133.1394,84.9637,63.0,-1.7605,34.2354
133.1394,84.9637,64.0,-1.7643,34.2426
133.1394,84.9637,65.0,-1.7704,34.2464
133.1394,84.9637,66.0,-1.7606,34.2523
133.1394,84.9637,67.0,-1.7479,34.2602
133.1394,84.9637,68.0,-1.7296,34.2685
133.1394,84.9637,69.0,-1.7324,34.2759
