lon,lat,temperature,salinity
133.2548,84.9641,-1.785,32.5002
133.2548,84.9641,-1.7852,32.5001
133.2548,84.9641,-1.7851,32.5002
133.2548,84.9641,-1.7851,32.5001
133.2548,84.9641,-1.785,32.5001
133.2548,84.9641,-1.7851,32.5003
133.2548,84.9641,-1.7851,32.5002
133.2548,84.9641,-1.7851,32.5005
133.2548,84.9641,-1.7851,32.5007
133.2548,84.9641,-1.7851,32.5015
133.2548,84.9641,-1.7851,32.5021
133.2548,84.9641,-1.7849,32.503
133.2548,84.9641,-1.7848,32.5036
133.2548,84.9641,-1.7849,32.5036
133.2548,84.9641,-1.7847,32.5042
133.2548,84.9641,-1.7846,32.5045
133.2548,84.9641,-1.7845,32.5049
133.2548,84.9641,-1.7845,32.5052
133.2548,84.9641,-1.7843,32.5056
133.2548,84.9641,-1.7843,32.506
133.2548,84.9641,-1.7842,32.5065
133.2548,84.9641,-1.7841,32.5078
133.2548,84.9641,-1.7832,32.5124
133.2548,84.9641,-1.781,32.55
133.2548,84.9641,-1.7417,33.1407
133.2548,84.9641,-1.6984,33.504
133.2548,84.9641,-1.6925,33.7139
133.2548,84.9641,-1.6968,33.8109
133.2548,84.9641,-1.71,33.854
133.2548,84.9641,-1.718,33.8872
133.2548,84.9641,-1.7239,33.9147
133.2548,84.9641,-1.7293,33.9406
133.2548,84.9641,-1.7069,33.9699
133.2548,84.9641,-1.7353,33.9946
133.2548,84.9641,-1.7613,34.0098
133.2548,84.9641,-1.7488,34.0239
133.2548,84.9641,-1.7372,34.0481
133.2548,84.9641,-1.747,34.0735
133.2548,84.9641,-1.7713,34.0893
133.2548,84.9641,-1.805,34.1005
133.2548,84.9641,-1.7884,34.1072
133.2548,84.9641,-1.7996,34.1188
133.2548,84.9641,-1.806,34.1272
133.2548,84.9641,-1.8062,34.1322
133.2548,84.9641,-1.7993,34.1387
133.2548,84.9641,-1.7897,34.1462
133.2548,84.9641,-1.7742,34.1559
133.2548,84.9641,-1.7726,34.1664
133.2548,84.9641,-1.7942,34.1734
133.2548,84.9641,-1.7855,34.1816
133.2548,84.9641,-1.7782,34.1927
133.2548,84.9641,-1.7805,34.2001
133.2548,84.9641,-1.7835,34.2094
133.2548,84.9641,-1.7895,34.2189
133.2548,84.9641,-1.7869,34.2273
133.2548,84.9641,-1.7895,34.2334
133.2548,84.9641,-1.7921,34.2392
133.2548,84.9641,-1.7798,34.2462
133.2548,84.9641,-1.7679,34.255
133.2548,84.9641,-1.7641,34.2631
133.2548,84.9641,-1.7635,34.2672
133.2548,84.9641,-1.741,34.2727
133.2548,84.9641,-1.7122,34.2823
133.2548,84.9641,-1.7054,34.2933
133.2548,84.9641,-1.7244,34.3004
133.2548,84.9641,-1.739,34.3024
133.2548,84.9641,-1.7346,34.3062
133.2548,84.9641,-1.7061,34.3115
133.2548,84.9641,-1.6342,34.3203
133.2548,84.9641,-1.6516,34.3302
133.2548,84.9641,-1.6266,34.3323
133.2548,84.9641,-1.5693,34.3396
133.2548,84.9641,-1.5266,34.3469
133.2548,84.9641,-1.4692,34.3535
133.2548,84.9641,-1.439,34.3587
133.2548,84.9641,-1.4151,34.3601
133.2548,84.9641,-1.3675,34.3668
133.2548,84.9641,-1.2932,34.3776
133.2548,84.9641,-1.2664,34.3872
133.2548,84.9641,-1.2753,34.3904
133.2548,84.9641,-1.2833,34.3916
133.2548,84.9641,-1.2601,34.3939
133.2548,84.9641,-1.2083,34.3989
133.2548,84.9641,-1.1808,34.405
133.2548,84.9641,-1.1904,34.4083
133.2548,84.9641,-1.1905,34.4101
133.2548,84.9641,-1.1411,34.4165
133.2548,84.9641,-1.1075,34.4212
133.2548,84.9641,-1.0841,34.4247
133.2548,84.9641,-1.0587,34.4271
133.2548,84.9641,-1.0069,34.4311
133.2548,84.9641,-0.9743,34.4351
133.2548,84.9641,-0.9111,34.4426
133.2548,84.9641,-0.8926,34.4483
133.2548,84.9641,-0.8761,34.4515
133.2548,84.9641,-0.8614,34.4554
133.2548,84.9641,-0.8419,34.4584
133.2548,84.9641,-0.8319,34.4604
133.2548,84.9641,-0.8081,34.4631
133.2548,84.9641,-0.7886,34.4669
133.2548,84.9641,-0.7626,34.4702
133.2548,84.9641,-0.7453,34.4733
133.2548,84.9641,-0.7286,34.4758
133.2548,84.9641,-0.7118,34.478
133.2548,84.9641,-0.6962,34.4814
133.2548,84.9641,-0.6743,34.4841
133.2548,84.9641,-0.6612,34.4869
133.2548,84.9641,-0.6341,34.493
133.2548,84.9641,-0.6314,34.4976
133.2548,84.9641,-0.6395,34.4979
133.2548,84.9641,-0.6187,34.5021
133.2548,84.9641,-0.5708,34.5053
133.2548,84.9641,-0.5063,34.5112
133.2548,84.9641,-0.4487,34.521
133.2548,84.9641,-0.4049,34.5286
133.2548,84.9641,-0.3999,34.5334
133.2548,84.9641,-0.3594,34.5397
133.2548,84.9641,-0.3013,34.5461
133.2548,84.9641,-0.2475,34.5527
133.2548,84.9641,-0.2004,34.5597
133.2548,84.9641,-0.1408,34.5665
133.2548,84.9641,-0.0857,34.574
133.2548,84.9641,-0.0212,34.5838
133.2548,84.9641,0.0408,34.5944
133.2548,84.9641,0.0696,34.5991
133.2548,84.9641,0.0891,34.6028
133.2548,84.9641,0.1228,34.6068
133.2548,84.9641,0.1726,34.6141
133.2548,84.9641,0.2321,34.6216
133.2548,84.9641,0.2786,34.6287
133.2548,84.9641,0.3024,34.6311
133.2548,84.9641,0.3504,34.6377
133.2548,84.9641,0.4138,34.6476
133.2548,84.9641,0.4774,34.6577
133.2548,84.9641,0.5222,34.6655
133.2548,84.9641,0.5648,34.6726
133.2548,84.9641,0.5911,34.6804
133.2548,84.9641,0.6039,34.6851
133.2548,84.9641,0.6195,34.69
