lon,lat,temperature,salinity
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
133.1636,84.9664,1000.0,1000.0
