lon,lat,temperature,salinity
133.0453,84.9609,-1.7847,32.4941
133.0453,84.9609,-1.7847,32.4942
133.0453,84.9609,-1.7849,32.4945
133.0453,84.9609,-1.7849,32.4946
133.0453,84.9609,-1.7848,32.4946
133.0453,84.9609,-1.785,32.4949
133.0453,84.9609,-1.7849,32.495
133.0453,84.9609,-1.7849,32.4951
133.0453,84.9609,-1.785,32.4954
133.0453,84.9609,-1.7849,32.4954
133.0453,84.9609,-1.7849,32.4956
133.0453,84.9609,-1.785,32.4959
133.0453,84.9609,-1.7849,32.4963
133.0453,84.9609,-1.785,32.4971
133.0453,84.9609,-1.7852,32.4996
133.0453,84.9609,-1.7851,32.5026
133.0453,84.9609,-1.7854,32.5046
133.0453,84.9609,-1.7854,32.5078
133.0453,84.9609,-1.7855,32.5104
133.0453,84.9609,-1.7854,32.5116
133.0453,84.9609,-1.7854,32.5126
133.0453,84.9609,-1.7831,32.5371
133.0453,84.9609,-1.7638,32.7621
133.0453,84.9609,-1.7363,33.0894
133.0453,84.9609,-1.697,33.4469
133.0453,84.9609,-1.6983,33.6331
133.0453,84.9609,-1.706,33.7508
133.0453,84.9609,-1.7117,33.8112
133.0453,84.9609,-1.7118,33.8528
133.0453,84.9609,-1.7086,33.8877
133.0453,84.9609,-1.7135,33.9272
133.0453,84.9609,-1.7106,33.9707
133.0453,84.9609,-1.7538,34.0123
133.0453,84.9609,-1.7732,34.0328
133.0453,84.9609,-1.7777,34.0474
133.0453,84.9609,-1.7777,34.0623
133.0453,84.9609,-1.7796,34.0714
133.0453,84.9609,-1.7853,34.0841
133.0453,84.9609,-1.795,34.0946
133.0453,84.9609,-1.8078,34.1053
133.0453,84.9609,-1.8163,34.1129
133.0453,84.9609,-1.8171,34.1177
133.0453,84.9609,-1.8043,34.1197
133.0453,84.9609,-1.8116,34.136
133.0453,84.9609,-1.821,34.144
133.0453,84.9609,-1.8176,34.1497
133.0453,84.9609,-1.8118,34.1561
133.0453,84.9609,-1.8027,34.165
133.0453,84.9609,-1.8074,34.1743
133.0453,84.9609,-1.8077,34.1813
133.0453,84.9609,-1.7986,34.1846
133.0453,84.9609,-1.7836,34.1901
133.0453,84.9609,-1.7805,34.2013
133.0453,84.9609,-1.7839,34.2094
133.0453,84.9609,-1.7825,34.2143
133.0453,84.9609,-1.784,34.2261
133.0453,84.9609,-1.7848,34.2336
133.0453,84.9609,-1.778,34.2387
133.0453,84.9609,-1.7761,34.2453
133.0453,84.9609,-1.7579,34.2464
133.0453,84.9609,-1.7587,34.2547
133.0453,84.9609,-1.7564,34.2634
133.0453,84.9609,-1.7448,34.2662
133.0453,84.9609,-1.7209,34.2708
133.0453,84.9609,-1.7083,34.2818
133.0453,84.9609,-1.7077,34.2923
133.0453,84.9609,-1.7014,34.294
133.0453,84.9609,-1.6806,34.2964
133.0453,84.9609,-1.6628,34.3028
133.0453,84.9609,-1.6496,34.3067
133.0453,84.9609,-1.6247,34.3092
133.0453,84.9609,-1.5936,34.3167
133.0453,84.9609,-1.5622,34.3209
133.0453,84.9609,-1.5323,34.3283
133.0453,84.9609,-1.4979,34.3347
133.0453,84.9609,-1.473,34.3437
133.0453,84.9609,-1.4446,34.3497
133.0453,84.9609,-1.4133,34.3553
133.0453,84.9609,-1.3873,34.3614
133.0453,84.9609,-1.3591,34.3673
133.0453,84.9609,-1.3259,34.3727
133.0453,84.9609,-1.2918,34.3793
133.0453,84.9609,-1.2728,34.3881
133.0453,84.9609,-1.25,34.39
133.0453,84.9609,-1.2204,34.3944
133.0453,84.9609,-1.2058,34.4023
133.0453,84.9609,-1.1778,34.4028
133.0453,84.9609,-1.1577,34.4096
133.0453,84.9609,-1.1415,34.4143
133.0453,84.9609,-1.1153,34.416
133.0453,84.9609,-1.088,34.421
133.0453,84.9609,-1.0502,34.4213
133.0453,84.9609,-1.0289,34.4297
133.0453,84.9609,-1.0016,34.4324
133.0453,84.9609,-0.9811,34.4371
133.0453,84.9609,-0.9599,34.4412
133.0453,84.9609,-0.9425,34.4431
133.0453,84.9609,-0.9184,34.4471
133.0453,84.9609,-0.8984,34.451
133.0453,84.9609,-0.8866,34.4549
133.0453,84.9609,-0.8658,34.4575
133.0453,84.9609,-0.849,34.4595
133.0453,84.9609,-0.8304,34.4608
133.0453,84.9609,-0.8171,34.4642
133.0453,84.9609,-0.8035,34.4682
133.0453,84.9609,-0.7787,34.4669
133.0453,84.9609,-0.7582,34.4706
133.0453,84.9609,-0.7219,34.4707
133.0453,84.9609,-0.6864,34.4752
133.0453,84.9609,-0.6637,34.4808
133.0453,84.9609,-0.6265,34.4848
133.0453,84.9609,-0.5802,34.4862
133.0453,84.9609,-0.5306,34.4904
133.0453,84.9609,-0.4877,34.494
133.0453,84.9609,-0.3888,34.5002
133.0453,84.9609,-0.3404,34.5081
133.0453,84.9609,-0.2845,34.513
133.0453,84.9609,-0.2203,34.5221
133.0453,84.9609,-0.1721,34.5334
133.0453,84.9609,-0.1402,34.5424
133.0453,84.9609,-0.1038,34.5465
133.0453,84.9609,-0.0451,34.5501
133.0453,84.9609,0.0099,34.5563
133.0453,84.9609,0.0509,34.5688
133.0453,84.9609,0.0847,34.577
133.0453,84.9609,0.1324,34.5739
133.0453,84.9609,0.1835,34.5804
133.0453,84.9609,0.2386,34.5916
133.0453,84.9609,0.3049,34.599
133.0453,84.9609,0.351,34.6093
133.0453,84.9609,0.3609,34.6248
133.0453,84.9609,0.4051,34.6226
133.0453,84.9609,0.444,34.635
133.0453,84.9609,0.4889,34.6393
133.0453,84.9609,0.5162,34.6526
133.0453,84.9609,0.5515,34.6565
133.0453,84.9609,0.592,34.6578
133.0453,84.9609,0.6559,34.6571
133.0453,84.9609,0.7084,34.6743
133.0453,84.9609,0.7469,34.6803
133.0453,84.9609,0.7875,34.6913
133.0453,84.9609,0.8326,34.6953
133.0453,84.9609,0.8853,34.7083
133.0453,84.9609,0.8901,34.7212
133.0453,84.9609,0.9242,34.7183
133.0453,84.9609,0.9682,34.728
133.0453,84.9609,1.0036,34.7377
133.0453,84.9609,1.0453,34.7456
133.0453,84.9609,1.054,34.7522
133.0453,84.9609,1.0971,34.748
133.0453,84.9609,1.1273,34.7609
133.0453,84.9609,1.1403,34.769
133.0453,84.9609,1.1624,34.7691
133.0453,84.9609,1.186,34.7803
133.0453,84.9609,1.1827,34.7857
133.0453,84.9609,1.1821,34.7867
133.0453,84.9609,1.1817,34.7876
133.0453,84.9609,1.1826,34.7881
133.0453,84.9609,1.1822,34.7895
133.0453,84.9609,1.1834,34.7894
133.0453,84.9609,1.1838,34.7902
133.0453,84.9609,1.1874,34.7901
133.0453,84.9609,1.1945,34.7895
133.0453,84.9609,1.2417,34.7864
133.0453,84.9609,1.2623,34.8017
133.0453,84.9609,1.267,34.8047
133.0453,84.9609,1.2656,34.8075
133.0453,84.9609,1.267,34.8079
133.0453,84.9609,1.2672,34.8088
133.0453,84.9609,1.2699,34.8092
133.0453,84.9609,1.32,34.8005
133.0453,84.9609,1.3664,34.8097
133.0453,84.9609,1.3732,34.8204
133.0453,84.9609,1.3752,34.8225
133.0453,84.9609,1.3753,34.8235
133.0453,84.9609,1.3743,34.8243
133.0453,84.9609,1.3688,34.8253
133.0453,84.9609,1.3648,34.8255
133.0453,84.9609,1.361,34.8257
133.0453,84.9609,1.3553,34.826
133.0453,84.9609,1.3493,34.8263
133.0453,84.9609,1.3451,34.8259
133.0453,84.9609,1.3401,34.8259
133.0453,84.9609,1.3339,34.8262
133.0453,84.9609,1.3278,34.8263
133.0453,84.9609,1.3241,34.8255
133.0453,84.9609,1.3206,34.8249
133.0453,84.9609,1.3165,34.8251
133.0453,84.9609,1.3147,34.8244
133.0453,84.9609,1.3132,34.8242
133.0453,84.9609,1.3086,34.8246
133.0453,84.9609,1.3063,34.824
133.0453,84.9609,1.3036,34.824
133.0453,84.9609,1.299,34.8242
133.0453,84.9609,1.296,34.8236
133.0453,84.9609,1.2952,34.8233
133.0453,84.9609,1.2924,34.8238
133.0453,84.9609,1.293,34.8226
133.0453,84.9609,1.286,34.825
133.0453,84.9609,1.2809,34.8239
133.0453,84.9609,1.2926,34.8207
133.0453,84.9609,1.3205,34.8204
133.0453,84.9609,1.3307,34.8267
133.0453,84.9609,1.3463,34.8267
133.0453,84.9609,1.3577,34.8323
133.0453,84.9609,1.3685,34.8369
133.0453,84.9609,1.3878,34.8444
133.0453,84.9609,1.3882,34.849
133.0453,84.9609,1.3885,34.8495
133.0453,84.9609,1.3887,34.8499
133.0453,84.9609,1.3892,34.8504
133.0453,84.9609,1.3893,34.8505
133.0453,84.9609,1.3889,34.8509
133.0453,84.9609,1.3892,34.851
133.0453,84.9609,1.3888,34.8511
133.0453,84.9609,1.3861,34.8521
133.0453,84.9609,1.3835,34.852
133.0453,84.9609,1.3803,34.852
133.0453,84.9609,1.3763,34.8521
133.0453,84.9609,1.3721,34.8516
133.0453,84.9609,1.3682,34.8519
133.0453,84.9609,1.3661,34.851
133.0453,84.9609,1.3657,34.8506
133.0453,84.9609,1.3662,34.8505
133.0453,84.9609,1.3664,34.8505
133.0453,84.9609,1.3659,34.8506
133.0453,84.9609,1.3655,34.8506
133.0453,84.9609,1.3656,34.8504
133.0453,84.9609,1.3652,34.8505
133.0453,84.9609,1.365,34.8505
133.0453,84.9609,1.3648,34.8503
133.0453,84.9609,1.365,34.8504
133.0453,84.9609,1.364,34.8505
133.0453,84.9609,1.3603,34.8513
133.0453,84.9609,1.3517,34.8517
133.0453,84.9609,1.3482,34.8506
133.0453,84.9609,1.3419,34.8508
133.0453,84.9609,1.34,34.8493
133.0453,84.9609,1.3397,34.8491
133.0453,84.9609,1.3401,34.8487
133.0453,84.9609,1.3398,34.849
133.0453,84.9609,1.3395,34.849
133.0453,84.9609,1.3397,34.8487
133.0453,84.9609,1.3398,34.8486
133.0453,84.9609,1.3398,34.8483
