lon,lat,depth,temperature,salinity
149.9963,89.7168,6.0,-1.6807,30.6871
149.9963,89.7168,7.0,-1.6806,30.6874
149.9963,89.7168,8.0,-1.6806,30.6877
149.9963,89.7168,9.0,-1.6807,30.6877
149.9963,89.7168,10.0,-1.6807,30.6881
149.9963,89.7168,11.0,-1.6806,30.688
149.9963,89.7168,12.0,-1.6806,30.6879
149.9963,89.7168,13.0,-1.6807,30.6882
149.9963,89.7168,14.0,-1.6806,30.6887
149.9963,89.7168,15.0,-1.6807,30.6893
149.9963,89.7168,16.0,-1.6807,30.6898
149.9963,89.7168,17.0,-1.6807,30.6902
149.9963,89.7168,18.0,-1.6807,30.6902
149.9963,89.7168,19.0,-1.6807,30.69
149.9963,89.7168,20.0,-1.6806,30.6894
149.9963,89.7168,21.0,-1.6807,30.6915
149.9963,89.7168,22.0,-1.6806,30.6957
149.9963,89.7168,23.0,-1.6807,30.6963
149.9963,89.7168,24.0,-1.6808,30.6992
149.9963,89.7168,25.0,-1.6815,30.7214
149.9963,89.7168,26.0,-1.683,30.7748
149.9963,89.7168,27.0,-1.6856,30.8483
149.9963,89.7168,28.0,-1.687,30.8933
149.9963,89.7168,29.0,-1.6883,30.9276
149.9963,89.7168,30.0,-1.6896,30.9621
149.9963,89.7168,31.0,-1.6923,31.0105
149.9963,89.7168,32.0,-1.6955,31.0801
149.9963,89.7168,33.0,-1.7014,31.1909
149.9963,89.7168,34.0,-1.7051,31.3819
149.9963,89.7168,35.0,-1.6982,31.475
149.9963,89.7168,36.0,-1.6825,31.5594
149.9963,89.7168,37.0,-1.663,31.723
149.9963,89.7168,38.0,-1.6523,31.8593
149.9963,89.7168,39.0,-1.6539,31.9515
149.9963,89.7168,40.0,-1.6496,32.0216
149.9963,89.7168,41.0,-1.6384,32.087
149.9963,89.7168,42.0,-1.6213,32.1598
149.9963,89.7168,43.0,-1.6096,32.2248
149.9963,89.7168,44.0,-1.6107,32.2613
149.9963,89.7168,45.0,-1.6032,32.3597
149.9963,89.7168,46.0,-1.595,32.4402
149.9963,89.7168,47.0,-1.5898,32.4912
149.9963,89.7168,48.0,-1.5927,32.5324
149.9963,89.7168,49.0,-1.5907,32.5601
149.9963,89.7168,50.0,-1.5962,32.618
149.9963,89.7168,51.0,-1.5933,32.6863
149.9963,89.7168,52.0,-1.5855,32.7284
149.9963,89.7168,53.0,-1.5803,32.7555
149.9963,89.7168,54.0,-1.5815,32.8075
