lon,lat,depth,temperature,salinity
160.9519,89.2999,6.0,-1.6776,30.6667
160.9519,89.2999,7.0,-1.6775,30.6665
160.9519,89.2999,8.0,-1.6776,30.6689
160.9519,89.2999,9.0,-1.6775,30.6688
160.9519,89.2999,10.0,-1.6775,30.6695
160.9519,89.2999,11.0,-1.6777,30.6702
160.9519,89.2999,12.0,-1.6777,30.6709
160.9519,89.2999,13.0,-1.6777,30.6705
160.9519,89.2999,14.0,-1.6775,30.6705
160.9519,89.2999,15.0,-1.6776,30.6718
160.9519,89.2999,16.0,-1.6778,30.6733
160.9519,89.2999,17.0,-1.6777,30.6745
160.9519,89.2999,18.0,-1.6776,30.6735
160.9519,89.2999,19.0,-1.6779,30.6781
160.9519,89.2999,20.0,-1.6785,30.6925
160.9519,89.2999,21.0,-1.6796,30.7221
160.9519,89.2999,22.0,-1.6834,30.8044
160.9519,89.2999,23.0,-1.6879,30.9113
160.9519,89.2999,24.0,-1.6906,31.0072
160.9519,89.2999,25.0,-1.6932,31.0278
160.9519,89.2999,26.0,-1.6959,31.0405
160.9519,89.2999,27.0,-1.6968,31.0508
160.9519,89.2999,28.0,-1.6982,31.0668
160.9519,89.2999,29.0,-1.6976,31.0848
160.9519,89.2999,30.0,-1.6979,31.1007
160.9519,89.2999,31.0,-1.6967,31.1315
160.9519,89.2999,32.0,-1.6956,31.1511
160.9519,89.2999,33.0,-1.691,31.1684
160.9519,89.2999,34.0,-1.6817,31.23
160.9519,89.2999,35.0,-1.6732,31.3413
160.9519,89.2999,36.0,-1.6745,31.3752
160.9519,89.2999,37.0,-1.6706,31.4251
160.9519,89.2999,38.0,-1.6601,31.5221
160.9519,89.2999,39.0,-1.6399,31.6862
160.9519,89.2999,40.0,-1.6186,31.8891
160.9519,89.2999,41.0,-1.6183,32.0079
160.9519,89.2999,42.0,-1.6195,32.0586
160.9519,89.2999,43.0,-1.6185,32.1281
160.9519,89.2999,44.0,-1.6134,32.2127
160.9519,89.2999,45.0,-1.6031,32.3608
160.9519,89.2999,46.0,-1.5992,32.4912
160.9519,89.2999,47.0,-1.5973,32.5481
160.9519,89.2999,48.0,-1.5981,32.657
160.9519,89.2999,49.0,-1.6124,32.7381
160.9519,89.2999,50.0,-1.6296,32.8084
160.9519,89.2999,51.0,-1.6333,32.8541
160.9519,89.2999,52.0,-1.651,32.8991
160.9519,89.2999,53.0,-1.6499,32.9644
160.9519,89.2999,54.0,-1.6417,33.0214
160.9519,89.2999,55.0,-1.6326,33.0649
160.9519,89.2999,56.0,-1.6437,33.1294
160.9519,89.2999,57.0,-1.6641,33.1557
160.9519,89.2999,58.0,-1.666,33.1991
160.9519,89.2999,59.0,-1.672,33.2679
160.9519,89.2999,60.0,-1.6736,33.3208
160.9519,89.2999,61.0,-1.6713,33.374
160.9519,89.2999,62.0,-1.6658,33.4238
160.9519,89.2999,63.0,-1.6612,33.4608
160.9519,89.2999,64.0,-1.661,33.5002
160.9519,89.2999,65.0,-1.658,33.5197
160.9519,89.2999,66.0,-1.6536,33.5578
160.9519,89.2999,67.0,-1.6529,33.5793
160.9519,89.2999,68.0,-1.6513,33.6045
160.9519,89.2999,69.0,-1.6429,33.6328
160.9519,89.2999,70.0,-1.6252,33.6713
160.9519,89.2999,71.0,-1.6207,33.7154
160.9519,89.2999,72.0,-1.6176,33.7466
160.9519,89.2999,73.0,-1.6137,33.7792
160.9519,89.2999,74.0,-1.6078,33.817
160.9519,89.2999,75.0,-1.604,33.8407
160.9519,89.2999,76.0,-1.6027,33.8565
160.9519,89.2999,77.0,-1.5985,33.8731
160.9519,89.2999,78.0,-1.5943,33.891
160.9519,89.2999,79.0,-1.5886,33.9274
160.9519,89.2999,80.0,-1.5841,33.9479
160.9519,89.2999,81.0,-1.5794,33.9645
160.9519,89.2999,82.0,-1.572,33.99
160.9519,89.2999,83.0,-1.5678,34.017
160.9519,89.2999,84.0,-1.565,34.0233
160.9519,89.2999,85.0,-1.5569,34.0405
160.9519,89.2999,86.0,-1.5573,34.0437
160.9519,89.2999,87.0,-1.5501,34.0532
160.9519,89.2999,88.0,-1.5441,34.0653
160.9519,89.2999,89.0,-1.5405,34.0786
160.9519,89.2999,90.0,-1.5388,34.0887
160.9519,89.2999,91.0,-1.5316,34.0995
160.9519,89.2999,92.0,-1.5134,34.1161
160.9519,89.2999,93.0,-1.5154,34.1246
160.9519,89.2999,94.0,-1.5254,34.1304
160.9519,89.2999,95.0,-1.5338,34.1331
160.9519,89.2999,96.0,-1.5346,34.1357
