lon,lat,depth,temperature,salinity
160.5522,89.528,6.0,-1.7098,31.2449
160.5522,89.528,7.0,-1.7096,31.245
160.5522,89.528,8.0,-1.7098,31.2466
160.5522,89.528,9.0,-1.7099,31.2477
160.5522,89.528,10.0,-1.71,31.248
160.5522,89.528,11.0,-1.7099,31.248
160.5522,89.528,12.0,-1.7098,31.248
160.5522,89.528,13.0,-1.7099,31.2485
160.5522,89.528,14.0,-1.71,31.2489
160.5522,89.528,15.0,-1.7102,31.2527
160.5522,89.528,16.0,-1.7111,31.2652
160.5522,89.528,17.0,-1.7115,31.2711
160.5522,89.528,18.0,-1.7117,31.273
160.5522,89.528,19.0,-1.7119,31.2774
160.5522,89.528,20.0,-1.7119,31.2789
160.5522,89.528,21.0,-1.7122,31.2826
160.5522,89.528,22.0,-1.7121,31.2834
160.5522,89.528,23.0,-1.712,31.2839
160.5522,89.528,24.0,-1.712,31.2841
160.5522,89.528,25.0,-1.7119,31.2841
160.5522,89.528,26.0,-1.7119,31.2842
160.5522,89.528,27.0,-1.7118,31.2855
160.5522,89.528,28.0,-1.7109,31.2928
160.5522,89.528,29.0,-1.7072,31.3169
160.5522,89.528,30.0,-1.7011,31.3832
160.5522,89.528,31.0,-1.6834,31.5932
160.5522,89.528,32.0,-1.6709,31.7189
160.5522,89.528,33.0,-1.6603,31.8603
160.5522,89.528,34.0,-1.66,31.9915
160.5522,89.528,35.0,-1.6608,32.0082
160.5522,89.528,36.0,-1.663,32.0826
160.5522,89.528,37.0,-1.6674,32.1765
160.5522,89.528,38.0,-1.6794,32.2506
160.5522,89.528,39.0,-1.6896,32.438
160.5522,89.528,40.0,-1.7059,32.6444
160.5522,89.528,41.0,-1.7117,32.7307
160.5522,89.528,42.0,-1.7166,32.796
160.5522,89.528,43.0,-1.7223,32.8493
160.5522,89.528,44.0,-1.7255,32.8751
160.5522,89.528,45.0,-1.7305,32.9078
160.5522,89.528,46.0,-1.7352,32.9344
160.5522,89.528,47.0,-1.7393,32.9613
