lon,lat,depth,temperature,salinity
142.7145,89.7976,6.0,-1.6829,30.7298
142.7145,89.7976,7.0,-1.683,30.7299
142.7145,89.7976,8.0,-1.6831,30.7302
142.7145,89.7976,9.0,-1.683,30.7311
142.7145,89.7976,10.0,-1.683,30.7318
142.7145,89.7976,11.0,-1.6831,30.7327
142.7145,89.7976,12.0,-1.6831,30.7335
142.7145,89.7976,13.0,-1.6832,30.734
142.7145,89.7976,14.0,-1.6832,30.7341
142.7145,89.7976,15.0,-1.6832,30.7347
142.7145,89.7976,16.0,-1.6832,30.7355
142.7145,89.7976,17.0,-1.6832,30.736
142.7145,89.7976,18.0,-1.6832,30.7368
142.7145,89.7976,19.0,-1.6832,30.738
142.7145,89.7976,20.0,-1.6833,30.7391
142.7145,89.7976,21.0,-1.6834,30.7422
142.7145,89.7976,22.0,-1.6837,30.749
142.7145,89.7976,23.0,-1.6842,30.7654
142.7145,89.7976,24.0,-1.6882,30.8676
142.7145,89.7976,25.0,-1.6929,31.0793
142.7145,89.7976,26.0,-1.6968,31.1687
142.7145,89.7976,27.0,-1.7015,31.217
142.7145,89.7976,28.0,-1.7053,31.2787
142.7145,89.7976,29.0,-1.7088,31.3368
142.7145,89.7976,30.0,-1.7137,31.4047
142.7145,89.7976,31.0,-1.7151,31.4558
142.7145,89.7976,32.0,-1.714,31.4812
142.7145,89.7976,33.0,-1.7128,31.5173
142.7145,89.7976,34.0,-1.7084,31.5866
142.7145,89.7976,35.0,-1.7044,31.622
142.7145,89.7976,36.0,-1.6977,31.6761
142.7145,89.7976,37.0,-1.6873,31.7785
142.7145,89.7976,38.0,-1.6855,31.8123
142.7145,89.7976,39.0,-1.6846,31.8357
142.7145,89.7976,40.0,-1.6826,31.8629
142.7145,89.7976,41.0,-1.67,31.9646
142.7145,89.7976,42.0,-1.6417,32.0833
142.7145,89.7976,43.0,-1.619,32.236
142.7145,89.7976,44.0,-1.6151,32.3275
142.7145,89.7976,45.0,-1.6304,32.4469
142.7145,89.7976,46.0,-1.6359,32.5241
142.7145,89.7976,47.0,-1.6246,32.5809
142.7145,89.7976,48.0,-1.6059,32.6525
142.7145,89.7976,49.0,-1.607,32.6961
142.7145,89.7976,50.0,-1.6085,32.7146
142.7145,89.7976,51.0,-1.6038,32.7457
142.7145,89.7976,52.0,-1.6036,32.762
142.7145,89.7976,53.0,-1.6042,32.8082
142.7145,89.7976,54.0,-1.6052,32.8543
142.7145,89.7976,55.0,-1.6061,32.8732
142.7145,89.7976,56.0,-1.6066,32.9273
142.7145,89.7976,57.0,-1.6091,32.981
142.7145,89.7976,58.0,-1.6145,33.0366
142.7145,89.7976,59.0,-1.6155,33.0877
142.7145,89.7976,60.0,-1.6146,33.1141
142.7145,89.7976,61.0,-1.6135,33.1305
142.7145,89.7976,62.0,-1.6118,33.1533
142.7145,89.7976,63.0,-1.6096,33.19
142.7145,89.7976,64.0,-1.6023,33.2784
142.7145,89.7976,65.0,-1.5953,33.3534
142.7145,89.7976,66.0,-1.5968,33.3923
142.7145,89.7976,67.0,-1.6076,33.4565
142.7145,89.7976,68.0,-1.6076,33.4733
142.7145,89.7976,69.0,-1.6073,33.4806
142.7145,89.7976,70.0,-1.6063,33.4914
142.7145,89.7976,71.0,-1.5984,33.537
142.7145,89.7976,72.0,-1.5954,33.5979
142.7145,89.7976,73.0,-1.6141,33.628
142.7145,89.7976,74.0,-1.6219,33.6456
142.7145,89.7976,75.0,-1.6176,33.6581
142.7145,89.7976,76.0,-1.6129,33.7063
142.7145,89.7976,77.0,-1.6136,33.7295
142.7145,89.7976,78.0,-1.613,33.7397
142.7145,89.7976,79.0,-1.6077,33.7549
142.7145,89.7976,80.0,-1.5921,33.7801
142.7145,89.7976,81.0,-1.5703,33.8154
142.7145,89.7976,82.0,-1.5566,33.8613
142.7145,89.7976,83.0,-1.5455,33.9054
142.7145,89.7976,84.0,-1.5559,33.9351
142.7145,89.7976,85.0,-1.547,33.9832
142.7145,89.7976,86.0,-1.5376,34.0118
142.7145,89.7976,87.0,-1.5364,34.0159
142.7145,89.7976,88.0,-1.5333,34.0238
142.7145,89.7976,89.0,-1.5252,34.0437
142.7145,89.7976,90.0,-1.5211,34.0536
142.7145,89.7976,91.0,-1.5171,34.0641
142.7145,89.7976,92.0,-1.513,34.0729
142.7145,89.7976,93.0,-1.5115,34.0774
142.7145,89.7976,94.0,-1.5036,34.0937
142.7145,89.7976,95.0,-1.4926,34.1124
142.7145,89.7976,96.0,-1.4855,34.1232
142.7145,89.7976,97.0,-1.4817,34.1281
142.7145,89.7976,98.0,-1.4791,34.1319
142.7145,89.7976,99.0,-1.4684,34.1463
142.7145,89.7976,100.0,-1.4591,34.1593
142.7145,89.7976,101.0,-1.4517,34.1709
142.7145,89.7976,102.0,-1.4422,34.1776
142.7145,89.7976,103.0,-1.4332,34.1835
142.7145,89.7976,104.0,-1.4267,34.1871
142.7145,89.7976,105.0,-1.4118,34.1947
142.7145,89.7976,106.0,-1.3975,34.205
142.7145,89.7976,107.0,-1.3844,34.2119
142.7145,89.7976,108.0,-1.3614,34.2218
142.7145,89.7976,109.0,-1.349,34.2302
142.7145,89.7976,110.0,-1.3294,34.2393
142.7145,89.7976,111.0,-1.3075,34.2477
142.7145,89.7976,112.0,-1.2886,34.2533
142.7145,89.7976,113.0,-1.2779,34.2558
142.7145,89.7976,114.0,-1.2585,34.2616
142.7145,89.7976,115.0,-1.2226,34.2724
142.7145,89.7976,116.0,-1.1931,34.2841
142.7145,89.7976,117.0,-1.1595,34.2954
142.7145,89.7976,118.0,-1.1399,34.3012
142.7145,89.7976,119.0,-1.124,34.3052
142.7145,89.7976,120.0,-1.1058,34.3093
142.7145,89.7976,121.0,-1.0884,34.3131
142.7145,89.7976,122.0,-1.0601,34.3203
142.7145,89.7976,123.0,-1.0292,34.3269
142.7145,89.7976,124.0,-1.0162,34.3324
142.7145,89.7976,125.0,-0.9962,34.3378
142.7145,89.7976,126.0,-0.967,34.3441
142.7145,89.7976,127.0,-0.9363,34.3523
142.7145,89.7976,128.0,-0.9243,34.3561
142.7145,89.7976,129.0,-0.9094,34.3589
142.7145,89.7976,130.0,-0.8882,34.3643
142.7145,89.7976,131.0,-0.8799,34.3654
142.7145,89.7976,132.0,-0.867,34.3671
142.7145,89.7976,133.0,-0.8289,34.3753
